歌名,難度,譜面定數,主分類,副分類,技巧標籤,不確定度,備註
光線チューニング,master,12.4,物量譜面,"全體難,拘束配置,視認難",交互穩定,中高,定數為 12.4，與本批範圍疑似不一致；圖面 CHAIN 很高且整體配置量大，建議人工確認是否混入。
スン(マイル)フラワー~Sun(Mile)Flower,master,12.5,物量譜面,"全體難, 最後不能鬆懈, 拘束配置",,中低,BPM 160、CHAIN 2265，CHAIN 高，整體持續處理量偏大。
僕の戦争,master,12.5,物量譜面,"全體難, 最後不能鬆懈, 拘束配置",,中低,BPM 144、CHAIN 2224，CHAIN 高，整體持續處理量大。
Palette,master,12.5,物量譜面,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中低,BPM 180、CHAIN 2126，整體處理量偏高，長條/滑條與 TAP 混合壓力明顯。
WakeUP MakeUP FEVER!,master,12.5,拘束配置,"視認難, 混合節奏, 局部難",,中,BPM 126、CHAIN 1927，速度不高，重點偏配置牽制與手順。
スーパーヒーロー,master,12.5,局部難,"視認難, 拘束配置, 標準",,中,BPM 132、CHAIN 1400，CHAIN 偏低，主要看局部配置與讀譜。
1000年生きてる,master,12.5,局部難,"視認難, 拘束配置, 標準",,中,BPM 100、CHAIN 1416，低速局部配置與讀譜是主軸。
Presence,master,12.5,局部難,"視認難, 拘束配置, 標準",,中,BPM 142、CHAIN 1326，CHAIN 偏低，偏局部配置與讀譜。
夏宵スターマイン,master,12.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 136、CHAIN 1555，偏中低速綜合型。
美少女無罪♡パイレーツ,master,12.5,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 170、CHAIN 1933，偏綜合型，整體處理量中高。
パラサイト,master,12.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 138、CHAIN 1600，偏中低速綜合型。
神っぽいな,master,12.5,局部難,"視認難, 拘束配置, 標準",,中,BPM 142、CHAIN 1026，CHAIN 很低，偏局部配置與読譜。
Forever and...,master,12.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 128、CHAIN 1511，偏中低速綜合型。
コトバウタ,master,12.5,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 256、CHAIN 1524，高速讀譜與段落反應是主軸。
トリドリ⇒モリモリ! Lovely fruits☆,master,12.5,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 185、CHAIN 1766，偏中高速綜合型。
おいでよ! 高須らいむランド,master,12.5,標準,"全體難, 拘束配置, 混合節奏",鍵盤,中,BPM 170、CHAIN 1995，偏綜合型，節奏、配置與基礎穩定度都要顧。
呪歌-JyuKa-,master,12.5,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 160、CHAIN 1575，偏綜合型，節奏、配置與基礎穩定度都要顧。
LOVE EAST,master,12.5,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 168、CHAIN 1592，偏綜合型，節奏、配置與基礎穩定度都要顧。
Ghost Dance,master,12.5,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 154、CHAIN 1509，偏綜合型，節奏、配置與基礎穩定度都要顧。
エンジェデビ,master,12.5,標準,"拘束配置, 混合節奏, 局部難",,中,BPM 130、CHAIN 1483，偏綜合型，節奏、配置與基礎穩定度都要顧。
StargazeR,master,12.5,高速處理,"全體難, 拘束配置, 混合節奏",交互穩定,中,BPM 195、CHAIN 2008，速度壓力明顯，重點偏中高速讀譜與段落處理。
マトリョシカ,master,12.5,高速處理,"拘束配置, 混合節奏, 局部難","餡蜜可用, 交互穩定, 鍵盤",中,BPM 205、CHAIN 1630，速度壓力明顯，重點偏中高速讀譜與段落處理。
ゆけむり魂温泉 II,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 140、CHAIN 1282，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
WE GOTTA SOUL,master,12.5,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 170、CHAIN 1561，偏綜合型，節奏、配置與基礎穩定度都要顧。
哀しみ集め,master,12.5,標準,"拘束配置, 混合節奏, 局部難",鍵盤,中,BPM 155、CHAIN 1541，偏綜合型，節奏、配置與基礎穩定度都要顧。
悪戯,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 140、CHAIN 1369，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
愛き夜道 feat. ランコ、雨天決行,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 136、CHAIN 1128，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
ドキドキDREAM!!!,master,12.5,標準,"高速處理, 拘束配置, 混合節奏","餡蜜可用, 交互穩定, 鍵盤",中,BPM 210、CHAIN 1546，偏高速綜合型，節奏、配置與基礎穩定度都要顧。
凛として咲く花の如く,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 163、CHAIN 1327，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
アルストロメリア,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 144、CHAIN 1220，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
いろは唄,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",階段,中,BPM 172、CHAIN 1414，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
ウミユリ海底譚,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",,中,BPM 120、CHAIN 1194，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
無敵We are one!!,master,12.5,高速處理,"全體難, 拘束配置, 混合節奏","交互穩定, 鍵盤",中,BPM 190、CHAIN 1804，速度壓力明顯，重點偏中高速讀譜與段落處理。
B.B.K.K.B.K.K.,master,12.5,局部難,"視認難, 拘束配置, 混合節奏",階段,中,BPM 170、CHAIN 960，CHAIN 偏低，主要看局部配置、階段或讀譜處理。
Burn My Soul,master,12.5,標準,"混合節奏, 拘束配置, 全體難",,高,BPM 180、CHAIN 1977，定數空白，偏綜合處理量型。
INSIDE IDENTITY,master,12.5,物量譜面,"全體難, 拘束配置, 混合節奏",,高,BPM 186、CHAIN 2005，定數空白，整體處理量偏高。
なにやってもうまくいかない,master,12.5,局部難,"視認難, 拘束配置, 標準",,高,BPM 125、CHAIN 1289，定數空白，先判為低速局部配置。
ユメヲカケル!,master,12.5,物量譜面,"高速處理, 全體難, 拘束配置",,高,BPM 195、CHAIN 2033，定數空白，中高速且處理量高。
Y.Y.Y.計画!!!!,master,12.6,物量譜面,"高速處理, 全體難, 最後不能鬆懈",,低,BPM 186、CHAIN 2598，CHAIN 很高，整體持續處理量大。
Behavior,master,12.6,物量譜面,"全體難, 拘束配置, 混合節奏",,中低,BPM 116、CHAIN 2131，低速但 CHAIN 高，整體持續處理量偏大。
迷星叫,master,12.6,高速處理,"全體難, 混合節奏, 拘束配置",,中低,BPM 190、CHAIN 1751，中高速綜合處理。
アンビバレンス,master,12.6,物量譜面,"全體難, 最後不能鬆懈, 拘束配置",,中低,BPM 187、CHAIN 2423，CHAIN 很高，整體持續處理量明顯。
Ever green Never end,master,12.6,物量譜面,"全體難, 高速處理, 拘束配置",鍵盤,中低,BPM 195、CHAIN 2195，整體處理量偏高，長條/滑條與 TAP 混合壓力明顯。
猛進ソリストライフ!,master,12.6,高速處理,"拘束配置, 混合節奏, 局部難","餡蜜推薦, 交互穩定, 鍵盤",中低,BPM 252、CHAIN 1560，速度壓力明顯，重點偏高速讀譜與段落處理。
怪獣,master,12.6,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 180、CHAIN 1477，偏中速綜合型。
Individual on parade!,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 172、CHAIN 1810，偏綜合型，整體處理量中等偏高。
BRAND NEW STARS!! (ALKALOID ver.),master,12.6,高速處理,"局部難, 混合節奏, 視認難",,中,BPM 235、CHAIN 1701，速度壓力明顯，偏高速讀譜與段落反應。
Campus mode!!,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 183、CHAIN 1942，中高速綜合型，整體處理量中高。
Flower,master,12.6,標準,"混合節奏, 拘束配置, 全體難",,中,BPM 168、CHAIN 1902，偏綜合型，處理量中等偏高。
おくすり飲んで寝よう,master,12.6,標準,"混合節奏, 拘束配置, 局部難",,中,BPM 130、CHAIN 1547，偏中低速綜合型。
ALIVE,master,12.6,局部難,"視認難, 拘束配置, 標準",,中,BPM 180、CHAIN 1425，CHAIN 不高，偏局部配置與段落處理。
